Company Name,Company Ratings,Services,Advantage_DisAdv,Details
Yes Bank,3.9,Banking | 10k-50k Employees | Public | 19 years old | Mumbai +415 more,"['Salary & Benefits, Work Life Balance, Job Security']","['5.8k Reviews', '38.9k Salaries', '274 Interviews', '29 Jobs', '600 Benefits', '2 Photos']"
Asian Paints,4.1,Chemicals | 5k-10k Employees | Public | 81 years old | Mumbai +384 more,"['Salary & Benefits, Skill Development / Learning, Job Security']","['5.7k Reviews', '19.8k Salaries', '414 Interviews', '121 Jobs', '876 Benefits', '20 Photos']"
Dr. Reddy's,4.2,10k-50k Employees | Public | 39 years old | Hyderabad/Secunderabad +152 more,"['Skill Development / Learning, Company Culture, Work Life Balance']","['5.6k Reviews', '23.3k Salaries', '244 Interviews', '291 Jobs', '833 Benefits', '21 Photos']"
Cipla Pharmaceutical,4.1,Pharma | 10k-50k Employees | Public | 88 years old | Mumbai +211 more,"['Skill Development / Learning, Salary & Benefits, Company Culture']","['5.6k Reviews', '23.2k Salaries', '326 Interviews', '30 Jobs', '843 Benefits', '12 Photos']"
Sutherland Global Services,3.8,IT Services & Consulting | 10k-50k Employees | 37 years old | Pittsford +47 more,[],"['5.5k Reviews', '26.2k Salaries', '319 Interviews', '181 Jobs', '885 Benefits', '18 Photos']"
NTT DATA,4.0,IT Services & Consulting | 10k-50k Employees | 35 years old | Chiyoda City +45 more,"['Job Security, Work Life Balance, Company Culture']","['5.3k Reviews', '48.7k Salaries', '382 Interviews', '107 Jobs', '728 Benefits', '11 Photos']"
EXL Service,3.8,Analytics & KPO | 10k-50k Employees | 24 years old | New York City +40 more,"['Job Security, Work Life Balance']","['5.2k Reviews', '32.7k Salaries', '386 Interviews', '457 Jobs', '784 Benefits', '11 Photos']"
ICICI Prudential Life Insurance,4.1,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +431 more,"['Job Security, Skill Development / Learning, Salary & Benefits']","['5.2k Reviews', '20.7k Salaries', '257 Interviews', '265 Jobs', '622 Benefits', '6 Photos']"
Jana Small Finance Bank,3.8,Banking | 10k-50k Employees | Public | 17 years old | Bangalore/Bengaluru +330 more,[],"['5.2k Reviews', '15.3k Salaries', '159 Interviews', '113 Jobs', '610 Benefits', '2 Photos']"
UltraTech Cement,4.2,Building Material | 10k-50k Employees | Public | 40 years old | Mumbai +402 more,"['Job Security, Skill Development / Learning, Company Culture']","['5.1k Reviews', '19.9k Salaries', '313 Interviews', '40 Jobs', '622 Benefits', '20 Photos']"
Bandhan Bank,3.8,Banking | 50k-1 Lakh Employees | Public | 22 years old | Kolkata +678 more,['Job Security'],"['5.1k Reviews', '18.1k Salaries', '322 Interviews', '26 Jobs', '508 Benefits', '3 Photos']"
Paytm,3.5,FinTech | 10k-50k Employees | Public | 13 years old | Noida +276 more,[],"['5.1k Reviews', '27.2k Salaries', '378 Interviews', '549 Jobs', '570 Benefits', '17 Photos']"
HCL Group,3.7,IT Services & Consulting | 1 Lakh+ Employees | 47 years old | Chennai +67 more,['Job Security'],"['5.1k Reviews', '70.6k Salaries', '253 Interviews', '1 Jobs', '649 Benefits', '-- Photos']"
Lupin,4.1,Pharma | 10k-50k Employees | Public | 55 years old | Mumbai +153 more,"['Skill Development / Learning, Company Culture, Work Life Balance']","['5k Reviews', '21.4k Salaries', '226 Interviews', '23 Jobs', '760 Benefits', '3 Photos']"
